2theta	Intensity
	69_100
13.66	782.1175781592664
13.68	1031.1735105412638
13.7	970.2369217817698
13.72	1259.310780486899
13.74	1278.395053567264
13.76	1787.4897062568755
13.78	1786.5947021319237
13.8	2212.370003130093
13.82	2444.835569569551
13.84	3123.971360167944
13.86	3299.7773320617316
13.88	4188.933440825133
13.9	5398.099640489553
13.92	6550.615883562915
13.94	8493.132121048657
13.96	11289.02830246521
13.98	16214.834375865405
14.0	23057.450287855623
14.02	30756.675983615354
14.04	31659.211406916507
14.06	24958.456500142645
14.08	15141.011204308801
14.1	7600.305459080481
14.12	3059.579202793272
14.14	1448.862372472254
14.16	851.4949038513198
14.18	640.7937313929432
14.2	416.7707883070676
14.22	399.42500657083826
14.24	345.42031694816853
14.26	281.42564900867114
14.28	180.7729311473788
14.3	213.4620906040297
14.32	152.82705348238113
14.34	98.86774476967662
14.36	64.91708835564515
14.38	87.64100705205715
14.4	107.04042261187465
14.42	103.11525574859098
14.44	79.19742615516287
14.46	135.28885252353143
14.48	78.05445256355478
14.5	94.16214302196136
14.52	66.94383970174084
14.54	26.400457481004793
14.56	19.198910331902738
14.58	48.67111133968851
14.6	118.1509727214887
14.62	40.97140584521662
14.64	77.13332124848586
14.66	49.9686286571316
14.68	9.478237004073208
14.7	48.99505444796637
14.72	61.85198839146932
14.74	31.38294550057131
14.76	24.25483172198787
14.78	27.13255230247273
14.8	0.01701180687692272
14.82	36.242114136156715
14.84	29.139762546101935
14.86	102.04485966513295
14.88	61.62230751254884
14.9	47.87200751663718
14.92	37.46186053247098
14.94	40.391766859778585
14.96	129.9936262609952
14.98	32.93433797881994
15.0	72.54780075392523
15.02	-1.1660871573477891
15.04	38.45857203415275
15.06	71.42167566853573
15.08	7.724120653528956
15.1	44.03080348210156
15.12	67.01062024954791
15.14	-43.33853332932645
15.16	36.31723809692252
15.18	19.31082953315604
15.2	45.64313565429967
15.22	21.979050822718506
15.24	21.653469104311313
15.26	17.999284285463773
15.28	-5.6506101106971585
