Wavelength	Intensity	Wavelength	Intensity	Wavelength	Intensity	Wavelength	Intensity	Wavelength	Intensity	Wavelength	Intensity	Wavelength	Intensity	Wavelength	Intensity	Wavelength	Intensity	Wavelength	Intensity	Wavelength	Intensity	Wavelength	Intensity	Wavelength	Intensity	Wavelength	Intensity	Wavelength	Intensity	Wavelength	Intensity	Wavelength	Intensity
(nm)	(-)	(nm)	(-)	(nm)	(-)	(nm)	(-)	(nm)	(-)	(nm)	(-)	(nm)	(-)	(nm)	(-)	(nm)	(-)	(nm)	(-)	(nm)	(-)	(nm)	(-)	(nm)	(-)	(nm)	(-)	(nm)	(-)	(nm)	(-)	(nm)	(-)
 	Pk16eVCsFA	 	Pk12eV	 	Total	 	Total absorptance	 	Transmittance	 	1-Reflectance	 	s_Lif	 	ITOsput030E20	 	SnO2	 	C60	 	NiOCSEMasdep	 	ITOsput1E20	 	SnO2	 	C60	 	s_ITO4	 	SiO2	 	Agpvlab
340.0	0.20931257955475932	340.0	2.6171146983089714e-10	340.0	0.20931257981647078	340.0	0.987679463059149	340.0	1.1225544218827383e-22	340.0	0.987679463059149	340.0	-4.440892098500626e-16	340.0	0.6273701655785735	340.0	0.014344823835969633	340.0	0.13665189308616482	340.0	5.90054487423796e-11	340.0	6.020852998676584e-11	340.0	1.719199076201843e-10	340.0	4.5083690701763365e-10	340.0	6.903329972364769e-21	340.0	9.4039548065783e-37	340.0	9.582215103947895e-22
345.0	0.23019441226081813	345.0	3.6732646994756714e-10	345.0	0.2301944126281446	345.0	0.9927537116412457	345.0	1.4020508443674684e-22	345.0	0.9927537116412457	345.0	-1.1102230246251565e-16	345.0	0.5956682045045085	345.0	0.012842112287283769	345.0	0.15404898120138588	345.0	8.693778560256703e-11	345.0	7.713431252472076e-11	345.0	2.0396762038206812e-10	345.0	6.518834389357515e-10	345.0	1.0649952617371216e-20	345.0	1.88079096131566e-37	345.0	1.484400562994865e-21
350.0	0.2590954386394034	350.0	6.663520916748144e-10	350.0	0.25909543930575546	350.0	0.9956366475285962	350.0	2.6493919288970566e-22	350.0	0.9956366475285962	350.0	-2.220446049250313e-16	350.0	0.5606306724791872	350.0	0.011505556671684292	350.0	0.1644049773971028	350.0	1.5276318962204189e-10	350.0	1.156676606206305e-10	350.0	2.956343732741109e-10	350.0	1.1108014317041903e-09	350.0	2.349883665813657e-20	350.0	7.52316384526264e-37	350.0	3.3259574129365228e-21
355.0	0.2960218976149943	355.0	1.508192584286646e-09	355.0	0.2960218991231869	355.0	0.9965625796745368	355.0	6.709273821970792e-22	355.0	0.9965625796745368	355.0	5.551115123125783e-16	355.0	0.5242623827525208	355.0	0.010165423156270725	355.0	0.16611287143345826	355.0	3.100194560148897e-10	355.0	2.0088124171255087e-10	355.0	5.028493112204299e-10	355.0	2.195349482212614e-09	355.0	6.953271736655566e-20	355.0	-4.513898307157584e-36	355.0	9.854929822561409e-21
360.0	0.33788830854947083	360.0	3.958579644923682e-09	360.0	0.33788831250805046	360.0	0.9961311952656929	360.0	2.059884219713518e-21	360.0	0.9961311952656929	360.0	5.551115123125783e-16	360.0	0.48801070567782023	360.0	0.008998835407857786	360.0	0.16123333473459767	360.0	7.002498986721384e-10	360.0	3.9436231130510533e-10	360.0	9.798978459991565e-10	360.0	4.8628561405383276e-09	360.0	2.3635320120585982e-19	360.0	-3.611118645726067e-35	360.0	3.3924206159870685e-20
365.0	0.3834597483330992	365.0	1.1425469833570337e-08	365.0	0.38345975975856905	365.0	0.9947653876608156	365.0	6.7173123707489105e-21	365.0	0.9947653876608156	365.0	-1.1102230246251565e-15	365.0	0.45217232951123576	365.0	0.008128510259583499	365.0	0.15100477191154266	365.0	1.6966506234097305e-09	365.0	8.451633351234448e-10	365.0	2.1414991082299022e-09	365.0	1.153657267536117e-08	365.0	8.484625688241293e-19	365.0	-7.222237291452134e-35	365.0	1.2293616677826714e-19
370.0	0.43172685320463733	370.0	3.465969769412597e-08	370.0	0.431726887864335	370.0	0.9929604569612596	370.0	2.8007702810305705e-20	370.0	0.9929604569612596	370.0	-2.220446049250313e-16	370.0	0.4177781884474927	370.0	0.0074245813708175845	370.0	0.13603076008637727	370.0	4.228461027987194e-09	370.0	1.9255629714835272e-09	370.0	4.971641939709675e-09	370.0	2.8066571244629727e-08	370.0	3.289663124306172e-18	370.0	-2.8888949165808538e-34	370.0	5.351214430943221e-19
375.0	0.4783243954828319	375.0	1.0330000780991119e-07	375.0	0.4783244987828397	375.0	0.9904362028489873	375.0	1.1394729683743945e-19	375.0	0.9904362028489873	375.0	9.992007221626409e-16	375.0	0.38427525867845413	375.0	0.0067277048081255675	375.0	0.12110864611412353	375.0	1.0509054901284258e-08	375.0	4.542044204590951e-09	375.0	1.1466223459691868e-08	375.0	6.79481208406875e-08	375.0	1.2447920506864211e-17	375.0	-1.1555579666323415e-33	375.0	2.269938533216701e-18
380.0	0.5193175904733237	380.0	2.867855326275327e-07	380.0	0.5193178772588564	380.0	0.9861663520372762	380.0	3.493709403591251e-19	380.0	0.9861663520372762	380.0	-1.1102230246251565e-16	380.0	0.3518137980191808	380.0	0.006088969639910458	380.0	0.10894548693654771	380.0	2.53718628110206e-08	380.0	1.0630367433394457e-08	380.0	2.5468377409632827e-08	380.0	1.5871217334777946e-07	380.0	3.8902688671274354e-17	380.0	6.162975822039155e-33	380.0	7.51597501555285e-18
385.0	0.5539733414426411	385.0	7.36663987457949e-07	385.0	0.5539740781066286	385.0	0.9792899944109286	385.0	9.933354209242697e-19	385.0	0.9792899944109286	385.0	-4.440892098500626e-16	385.0	0.3200859615205546	385.0	0.005323959146229074	385.0	0.09990551716213913	385.0	4.653225189994529e-08	385.0	2.4064348192183267e-08	385.0	5.219018266334291e-08	385.0	3.556885946873941e-07	385.0	1.138850966294603e-16	385.0	3.389636702121535e-32	385.0	2.3170823443996432e-17
390.0	0.5827271953772605	390.0	1.7212454040309951e-06	390.0	0.5827289166226645	390.0	0.9699226675027797	390.0	2.6495213881865382e-18	390.0	0.9699226675027797	390.0	1.2212453270876722e-15	390.0	0.289097488059163	390.0	0.004457699432939832	390.0	0.093637593283879	390.0	7.512689587418096e-08	390.0	5.070309349214128e-08	390.0	9.520848172299737e-08	390.0	7.490656607540252e-07	390.0	3.084623339269257e-16	390.0	4.930380657631324e-32	390.0	6.577960089823831e-17
395.0	0.6055434353554083	395.0	3.628946839757506e-06	395.0	0.6055470643022481	395.0	0.9582284338264357	395.0	6.058783296303229e-18	395.0	0.9582284338264357	395.0	3.3306690738754696e-16	395.0	0.2592290231735068	395.0	0.003842433902584208	395.0	0.08960806441633828	395.0	1.1441658151699675e-07	395.0	9.741217641909859e-08	395.0	1.649280394050237e-07	395.0	1.4712749598110532e-06	395.0	7.054004378378391e-16	395.0	-9.860761315262648e-32	395.0	1.5701771544507957e-16
400.0	0.623248461849045	400.0	6.962600414159326e-06	400.0	0.6232554244494591	400.0	0.9447855960747352	400.0	1.3189751012169386e-17	400.0	0.9447855960747352	400.0	9.992007221626409e-16	400.0	0.23079355054563988	400.0	0.0033004435737392646	400.0	0.0874328846619642	400.0	1.6378668117102812e-07	400.0	1.7005612625279333e-07	400.0	2.6301616772989057e-07	400.0	2.6959849546152732e-06	400.0	1.5236390555327817e-15	400.0	-1.035379938102578e-30	400.0	3.5568580749008045e-16
405.0	0.6368417532310058	405.0	1.1987888138363884e-05	405.0	0.6368537411191442	405.0	0.9305902240414669	405.0	2.3770079851146594e-17	405.0	0.9305902240414669	405.0	-0.0	405.0	0.2041207140763044	405.0	0.002783058370454339	405.0	0.08682732482619904	405.0	2.147899746030344e-07	405.0	2.643970253861082e-07	405.0	3.7365443133447626e-07	405.0	4.532807930015497e-06	405.0	2.739772851841599e-15	405.0	-5.9164567891575885e-31	405.0	7.052828048709846e-16
410.0	0.6468852042312101	410.0	1.907057812588695e-05	410.0	0.646904274809336	410.0	0.916007005714323	410.0	3.933526068620987e-17	410.0	0.916007005714323	410.0	5.551115123125783e-16	410.0	0.17922847614994153	410.0	0.002498435388115783	410.0	0.08736749179603598	410.0	2.6396955552333436e-07	410.0	3.758664119951124e-07	410.0	5.275438942940066e-07	410.0	7.160191025465224e-06	410.0	4.461992550323871e-15	410.0	5.9164567891575885e-31	410.0	1.2820136812972155e-15
415.0	0.6545510392249586	415.0	2.8459302705106186e-05	415.0	0.6545794985276637	415.0	0.9018772974466879	415.0	6.457162889738145e-17	415.0	0.901877297446688	415.0	1.1102230246251565e-15	415.0	0.15627777385316144	415.0	0.002207647707012095	415.0	0.088800154146088	415.0	3.05903453893638e-07	415.0	4.93628468609636e-07	415.0	6.920801917489588e-07	415.0	1.073160063795496e-05	415.0	7.076997832784962e-15	415.0	7.099748146989106e-30	415.0	2.2701576478737045e-15
