Wavelength (nm),Pk12eV10C_n,Pk12eV10C_k
576,2.763228,0.6836735
577,2.76541175,0.67923275
578,2.7672555,0.6745665
579,2.768843875,0.670184875
580,2.770262,0.665993
581,2.772198875,0.66220675
582,2.77429325,0.65819375
583,2.776623875,0.653840625
584,2.778601,0.649136
585,2.78041675,0.64437025
586,2.7819405,0.6397115
587,2.78344175,0.63513525
588,2.784928,0.630614
589,2.786584667,0.62576
590,2.788180188,0.620937375
591,2.789714562,0.616146125
592,2.790974437,0.611147312
593,2.792081188,0.606127875
594,2.792901812,0.601114125
595,2.793487938,0.596273625
596,2.793971688,0.591546125
597,2.794438562,0.587167375
598,2.79503825,0.582819875
599,2.79577075,0.578503625
600,2.796509438,0.573956187
601,2.7971814,0.5692634
602,2.797696067,0.5642914
603,2.798029,0.559637
604,2.79829475,0.555080875
605,2.7984735,0.55060025
606,2.798612125,0.546162
607,2.798724,0.541752
608,2.79877025,0.5373695
609,2.79877525,0.532994
610,2.798718375,0.528629
611,2.798556,0.524296
612,2.798337625,0.51999125
613,2.79800075,0.5157675
614,2.7976064,0.5114864
615,2.797181875,0.507204
616,2.796830625,0.503254
617,2.79648,0.499284625
618,2.79613,0.495295875
619,2.79566525,0.491299812
620,2.795149687,0.4873305
621,2.794545312,0.4834255
622,2.793895875,0.479607563
623,2.793227125,0.475838687
624,2.792558375,0.472175562
625,2.791889,0.468405667
626,2.791219,0.464529
627,2.7905365,0.460840875
628,2.7897875,0.457172
629,2.78893875,0.453532
630,2.7880335,0.4500335
631,2.7871265,0.446584875
632,2.786269,0.44319425
633,2.78536725,0.439763125
634,2.784436,0.436305
635,2.783254125,0.432989375
636,2.782077,0.42983975
637,2.780907,0.426939125
638,2.780026067,0.423989933
639,2.779289937,0.420973875
640,2.778723063,0.417830125
641,2.777914688,0.41451925
642,2.776969625,0.411159125
643,2.775725875,0.408000375
644,2.774497125,0.404987563
645,2.773283375,0.402120688
646,2.7721675,0.399315688
647,2.771052562,0.396523938
648,2.769914437,0.393747062
649,2.768701267,0.390951667
650,2.767502875,0.38821
651,2.76649225,0.385715
652,2.765586625,0.383157375
653,2.764751,0.380558
654,2.763830375,0.3777455
655,2.7628095,0.37493575
656,2.76163825,0.372130125
657,2.760359,0.369492
658,2.759042533,0.366901533
659,2.7576852,0.3643342
660,2.75646075,0.361958813
661,2.755305937,0.359666375
662,2.754265312,0.357380125
663,2.75325125,0.355042938
664,2.75226375,0.352654813
665,2.751184563,0.3501885
666,2.75004925,0.347724
667,2.74880675,0.345284
668,2.7474855,0.342938063
669,2.7461178,0.340637933
670,2.7446358,0.338387267
671,2.743281375,0.33634325
672,2.742012,0.334437
673,2.740965125,0.332552625
674,2.7399595,0.33060025
675,2.73901575,0.328545875
676,2.737972,0.326391
677,2.73687025,0.32422125
678,2.7356365,0.3220925
679,2.73436525,0.32005075
680,2.733069,0.318067
681,2.731706333,0.316092333
682,2.73042625,0.31423
683,2.72922875,0.31248
684,2.728128562,0.3107435
685,2.727054,0.308988062
686,2.726014,0.307184938
